Plot,Year,Type,F_est,Mother,Father,Shading,X_axis,Y_axis,Border,DTA,DTS,PlantHt,LeafLen,LeafWd,TillNum,EarsPerSideBran,LatBranNodeNum,LatBranLen,LBIL,EarLen,SeedsPerRow,FC_Width_mm,SeedsPerEar,EarInternodeLen,PredSeedPerPlant,PredTotalSeedWeight,SeedWeight,CulmDiam,BranNum,MalePerc,Clustering,ASI,FruitcaseWt,ProporYoked,ProporNonShatter,ProporPairedSpikelets,Perc_Germ,FC_Length_mm,FC_LWR,FC_Triangularity,com,dr,TypeYear
A0362,2014,Outcross,-0.0088484,PC_N03_ID2,PC_L06_ID2,3645.1,3,86,E,66,66,130,58.5,6.2,7,8,2,180,90,40.5,4.5,4.146016,9,4.5,4666,116,0.0249,1.33,8,90,0.0444,0,0.0497,0,0.006,0,100,5.729553,1.388225,1.339657894,PC_L06_ID2xPC_N03_ID2,-1,Outcross2014
A0363,2014,Outcross,-0.01295954,PC_N48_ID1,PC_J51_ID1,3461.49,3,85,E,59,57,130,49,7.9,5,10,3,250,83.33,40.5,3.75,4.759367,7.5,5.4,4290,167,0.0389,1.76,10,100,0.04,2,0.0778,0,0.007,0,95,6.956447,1.466155,1.346477444,PC_J51_ID1xPC_N48_ID1,-1,Outcross2014
A0365,2014,Outcross,-0.02230066,PC_N03_ID2,PC_I50_ID2,1900.76,3,83,E,76,73,180,49,5,17,10,3,500,166.67,53,5.25,3.835944,10.5,5.05,7782,198,0.0254,1.75,11,100,0.02,3,0.0508,0.01,0.01,0,95,6.34959,1.663474,1.372360414,PC_I50_ID2xPC_N03_ID2,-1,Outcross2014
A0375,2014,Outcross,-0.0097044,PC_N14_ID2,PC_I55_ID2,1585.52,3,73,E,66,64,128,52,4.7,13,8,3,440,146.67,51,5,4.40601,10,5.1,5907,214,0.0363,1.54,9,20,0.0182,2,0.0725,0,0.008,0.008,100,6.716171,1.528682,1.358954614,PC_I55_ID2xPC_N14_ID2,-1,Outcross2014
A0377,2014,Outcross,-0.04056257,PC_M59_ID1,PC_L08_ID1,2518.83,3,71,E,56,52,112,31,4.8,3,6,1,190,190,43,4.25,3.855985,8.5,5.06,3477,77,0.0223,1.47,8,100,0.0316,4,0.0446,0.02,0.05,0.02,90,5.749358,1.49875,1.414154283,PC_L08_ID1xPC_M59_ID1,-1,Outcross2014
A0378,2014,Outcross,-0.02709144,PC_N13_ID1,PC_L56_ID1,2793.03,3,70,E,67,67,125,54,6.6,8,13,3,510,170,49,4.5,4.055466,9,5.44,4987,142,0.0285,1.71,7,100,0.0255,0,0.0569,0,0.007,0.007,85,6.405926,1.589307,1.367037583,PC_L56_ID1xPC_N13_ID1,-1,Outcross2014
A0379,2014,Outcross,0.0055068,PC_I52_ID1,PC_L12_ID1,2564.49,3,69,E,67,65,158,42,5.8,9,13,3,360,120,48.5,4.25,3.662494,8.5,5.71,6015,146,0.0243,1.63,11,100,0.0361,2,0.0485,0,0,0.008,50,5.754258,1.583698,1.465387173,PC_I52_ID1xPC_L12_ID1,1,Outcross2014
A0380,2014,Self,0.4279406,PC_O51_ID2,PC_O51_ID2,2486.1,3,68,E,71,69,116,46,7.3,8,13,3,330,110,38,4,3.717924,8,4.75,4927,112,0.0227,1.28,8,100,0.0394,2,0.0453,0,0,0.006,75,5.993946,1.621223,1.408712664,PC_O51_ID2xPC_O51_ID2,1,Self2014
A0384,2014,Outcross,0.0065706,PC_K02_ID1,PC_K60_ID1,2056.95,3,64,E,59,57,130,52.5,5.9,11,17,3,560,186.67,46,4,3.691944,8,5.75,5878,129,0.022,1.49,9,100,0.0304,2,0.0439,0,0,0,75,6.155452,1.674749,1.415058812,PC_K02_ID1xPC_K60_ID1,1,Outcross2014
A0385,2014,Outcross,-0.019769,PC_K55_ID2,PC_I11_ID2,2337.87,3,63,E,60,61,122,47,5.5,5,9,2,360,180,44.5,4,4.612935,8,5.56,4230,164,0.0387,1.67,10,100,0.025,-1,0.0774,0,0,0,100,6.6611,1.460987,1.364937674,PC_I11_ID2xPC_K55_ID2,-1,Outcross2014
A0387,2014,Self,0.4353573,PC_M05_ID1,PC_M05_ID1,2253.22,3,61,E,64,59,124,47,4.8,5,7,2,380,190,40.5,4,3.600545,8,5.06,2975,65,0.022,1.19,6,90,0.0184,5,0.044,0,0,0,0,6.458449,1.798259,1.413344117,PC_M05_ID1xPC_M05_ID1,1,Self2014
A0389,2014,Self,0.4737282,PC_L48_ID2,PC_L48_ID2,1827.99,3,59,E,69,68,107,57.5,5,11,15,3,570,190,44,5.25,3.537106,10.5,4.19,6945,119,0.0172,1.21,8,100,0.0263,1,0.0343,0,0.031,0,95,4.8122,1.367176,1.415138943,PC_L48_ID2xPC_L48_ID2,1,Self2014
A0392,2014,Outcross,-0.0104048,PC_J50_ID1,PC_I06_ID1,2449.88,3,56,E,62,58,116,39,4.9,7,9,2,310,155,59.5,4.5,4.18329,9,6.61,4640,147,0.0317,1.27,8,50,0.029,4,0.0634,0,0,0,75,7.483129,1.792493,1.365616828,PC_I06_ID1xPC_J50_ID1,-1,Outcross2014
